"mall_or_street","mall_or_street_name","merchant_category","merchant_name","address"
"Street","Syed Alwi Road","RESTAURANT","CHENNAI'S ANJAPPAR CHETTINAADU RESTAURANT","102 SYED ALWI ROAD SINGAPORE 207678"
"In-Mall & Building","International Plaza","RETAIL","CHEONGDAM KOREAN SKIN MANAGEMENT","10 ANSON ROAD #02-35/36/37 SINGAPORE 079903"
"Street","Telok Ayer Street","RESTAURANT","CHEONGDAMCHAE","123 TELOK AYER STREET SINGAPORE 068592"
"Street","Joo Chiat Road","RETAIL","CHERRY LANE RECORDS","387 JOO CHIAT ROAD #01-05 SINGAPORE 427623"
"In-Mall & Building","NEX","RETAIL","CHERYL W ","23 SERANGOON CENTRAL #B2-31/32 SINGAPORE 556083"
"Street","Beach Road","RESTAURANT","CHEVY'S BAR AND BISTRO","247 BEACH ROAD #01-01 SINGAPORE 189756"
"Street","Teck Lim Road","RESTAURANT","CHEZ SUZETTE","5 TECK LIM ROAD #01 & #02-01 & 01 SINGAPORE 088383"
"In-Mall & Building","Bugis Junction","RETAIL","CHIC FEVER","200 VICTORIA STREET #03-12C SINGAPORE 188021"
"In-Mall & Building","Plaza Singapura","RETAIL","CHICCO","68 ORCHARD ROAD #04-12B SINGAPORE 238839"
"Street","One Fullerton","RESTAURANT","CHICHA SANCHEN","1 FULLERTON ROAD #01-11A SINGAPORE 049213"
"In-Mall & Building","The Star Vista","RESTAURANT","CHICHA SANCHEN","1 VISTA EXCHANGE GREEN #02-28B SINGAPORE 138617"
"In-Mall & Building","Plaza Singapura","RESTAURANT","CHICHA SANCHEN","68 ORCHARD ROAD #B1-K7 SINGAPORE 238839"
"In-Mall & Building","The Woodleigh Mall","RESTAURANT","CHICHA SANCHEN","11 BIDADARI PARK DRIVE #01-32 SINGAPORE 367803"
"In-Mall & Building","Bedok Mall","RESTAURANT","CHICHA SANCHEN","311 NEW UPPER CHANGI ROAD #B2-24A SINGAPORE 467360"
"In-Mall & Building","NEX","RESTAURANT","CHICHA SANCHEN","23 SERANGOON CENTRAL #02-13A SINGAPORE 556083"
"In-Mall & Building","West Mall","RESTAURANT","CHICHA SANCHEN","1 BUKIT BATOK CENTRAL LINK #B1-15 SINGAPORE 658713"
"In-Mall & Building","Lot One","RESTAURANT","CHICHA SANCHEN","21 CHOA CHU KANG AVENUE 4 #01-05 SINGAPORE 689812"
"In-Mall & Building","Northpoint City","RESTAURANT","CHICHA SANCHEN","930 YISHUN AVENUE 2 #B2-01 SINGAPORE 768019"
"In-Mall & Building","Punggol Waterway Point","RESTAURANT","CHICHA SANCHEN","83 PUNGGOL CENTRAL #01-42 SINGAPORE 828761"
"In-Mall & Building","Bugis+","RESTAURANT","CHICK-FIL-A","201 VICTORIA STREET #01-19 SINGAPORE 188067"
"Street","Amoy Street","RESTAURANT","CHICO LOCO","102 AMOY STREET SINGAPORE 069922"
"In-Mall & Building","Bugis Junction","RESTAURANT","CHIKUYOTEI","80 MIDDLE ROAD #01-01 SINGAPORE 188966"
"Street","Joo Chiat Place","RESTAURANT","CHILLI PADI NONYA","11 JOO CHIAT PLACE #01-03 SINGAPORE 427744"
"Street","Temple Street","RESTAURANT","CHILLI UP HUNAN CUISINE","53 TEMPLE STREET SINGAPORE 058598"
"Street","Sago Street","RESTAURANT","CHINATOWN TEH TARIK","40 SAGO STREET SINGAPORE 059029"
"In-Mall & Building","Northpoint City","RETAIL","CHIP LEE JEWELLERY","930 YISHUN AVENUE 2 #01-46 SINGAPORE 769098"
"Street","Temple Street","RETAIL","CHOCO ATELIER","36 TEMPLE STREET #01-03/04/05 SINGAPORE 058581"
"Street","South Bridge Road","RETAIL","CHOCOELF","232 SOUTH BRIDGE ROAD SINGAPORE 058781"
"In-Mall & Building","Junction 8","RESTAURANT","CHOCOLATE ORIGIN ","9 BISHAN PLACE #02-33 SINGAPORE 579837"
"In-Mall & Building","Parkway Parade","RETAIL","CHOMEL","80 MARINE PARADE ROAD #01-24 SINGAPORE 449269"
"In-Mall & Building","Junction 8","RETAIL","CHOMEL","9 BISHAN PLACE #01-13 SINGAPORE 579837"
"In-Mall & Building","Northpoint City","RETAIL","CHOMEL","1 NORTHPOINT DRIVE #01-109 SINGAPORE 768019"
"Street","Serangoon Garden Way","RETAIL","CHONG HOE CHINESE MEDICAL STORE","61 SERANGOON GARDEN WAY SINGAPORE 555957"
"Street","Liang Seah Street","RESTAURANT","CHONG QING GRILLED FISH","1 LIANG SEAH STREET #01-05/06 SINGAPORE 189022"
"Street","Beach Road","RESTAURANT","CHOON HOY PARLOR","85 BEACH ROAD #01-02 SINGAPORE 189694"
"In-Mall & Building","Bugis Junction","RESTAURANT","CHOU NIANG","200 VICTORIA STREET #B1-KIO10 /K10/11 SINGAPORE 188021"
"In-Mall & Building","Plaza Singapura","RESTAURANT","CHOU NIANG","68 ORCHARD ROAD #B2-48/49 SINGAPORE 238839"
"In-Mall & Building","IMM Building","RESTAURANT","CHOU NIANG","2 JURONG EAST STREET 21 #01-49 SINGAPORE 609601"
"In-Mall & Building","Bugis Junction","RETAIL","CHOW TAI FOOK","200 VICTORIA STREET #01-38/41/42 SINGAPORE 188021"
"In-Mall & Building","NEX","RETAIL","CHOW TAI FOOK","23 SERANGOON CENTRAL #01-80/81 SINGAPORE 556083"
"Street","Collyer Quay","RETAIL","CHRYSTER JEWELLERY ACCESSORIES","62 COLLYER QUAY #02-01 SINGAPORE 049325"
"In-Mall & Building","One Raffles Place","RESTAURANT","CHUAN TAIZI MALATANG","1 RAFFLES PLACE #B1-04/05 SINGAPORE 048616"
"In-Mall & Building","Guoco Tower","RESTAURANT","CHUAN TAIZI MALATANG","1 WALLICH STREET #B2-29 SINGAPORE 078881"
"Street","Mosque Street","RESTAURANT","CHUAN WEI REN JIA","3 MOSQUE STREET SINGAPORE 059484"
"Street","Serangoon Garden Way","RESTAURANT","CHUN CHUN TIAN MI","66A SERANGOON GARDEN WAY SINGAPORE 555962"
"Street","Kandahar Street","RESTAURANT","CICHETI VENTURES","52 KANDAHAR STREET SINGAPORE 198901"
"In-Mall & Building","Plaza Singapura","RETAIL","CITRUSOX","68 ORCHARD ROAD #B1-K1 SINGAPORE 238839"
"In-Mall & Building","Junction 8","RETAIL","CITRUSOX","9 BISHAN PLACE #02-K001 SINGAPORE 579837"
"In-Mall & Building","Bugis Junction","RETAIL","CITY CHAIN STORE","200 VICTORIA STREET #01-65 SINGAPORE 188021"
"In-Mall & Building","NEX","RETAIL","CITY CHAIN STORE","23 SERANGOON CENTRAL #01-77 SINGAPORE 556083"
"In-Mall & Building","Tampines Mall","RETAIL","CITY CHAIN STORE","4 TAMPINES CENTRAL 5 #01-10 SINGAPORE 559510"
"In-Mall & Building"," ","RETAIL","CITY CHAIN STORE","2 JURONG EAST STREET 21 #01-116 SINGAPORE 609601"
"In-Mall & Building","Northpoint City","RETAIL","CITY CHAIN STORE","930 YISHUN AVENUE 2 #01-48 SINGAPORE 769098"
"In-Mall & Building","One Raffles Place","RESTAURANT","CITY HOT POT","1 RAFFLES PLACE #04-28 SINGAPORE 048616"
"In-Mall & Building","Guoco Tower","RESTAURANT","CITY HOT POT","7 WALLICH STREET #B1-04 SINGAPORE 078884"
"In-Mall & Building","Bugis Cube","RESTAURANT","CLAP SHOP","470 NORTH BRIDGE ROAD #02-06 SINGAPORE 188735"
"In-Mall & Building","Holland Road Shopping Centre","RETAIL","CLARA WHITE","211 HOLLAND AVENUE #03-13 SINGAPORE 278967"
"In-Mall & Building","Parkway Parade","RETAIL","CLARINS","80 MARINE PARADE ROAD #01-18 SINGAPORE 449269"
"In-Mall & Building","NEX","RETAIL","CLARINS","23 SERANGOON CENTRAL #01-K10 SINGAPORE 556083"
"In-Mall & Building","Westgate","RETAIL","CLARINS","3 GATEWAY DRIVE #01-26 SINGAPORE 608532"
"In-Mall & Building","Paya Lebar Quarter","RETAIL","CLARKS","10 PAYA LEBAR ROAD #01-31 PLQ MALL SINGAPORE 409057"
"In-Mall & Building","Parkway Parade","RETAIL","CLARKS","80 MARINE PARADE ROAD #01-76/77 SINGAPORE 449269"
"In-Mall & Building","IMM Building","RETAIL","CLARKS","2 JURONG EAST STREET 21 #01-13/14 SINGAPORE 609601"
"In-Mall & Building","I12 Katong","RETAIL","CLEMENCE","112 EAST COAST ROAD #01-24 SINGAPORE 428802"
"In-Mall & Building","Holland Road Shopping Centre","RETAIL","CLINIC ESTHETIQUE","211 HOLLAND AVENUE #03-11 SINGAPORE 278967"
"Street","Bukit Pasoh Road","RESTAURANT","CLOS PASOH","48A BUKIT PASOH ROAD #02-01 SINGAPORE 089859"
"Street","Club Street","RESTAURANT","CLUB STREET WINE ROOM ","87 CLUB STREET SINGAPORE 069455"
"Street","Beach Road","RETAIL","CNES SHOEMAKER","259 BEACH ROAD #01-01 SINGAPORE 199540"
"In-Mall & Building","The Star Vista","RETAIL","CNS NAILZ SPA","1 VISTA EXCHANGE GREEN #01-38/39 SINGAPORE 138617"
"Street","Haji Lane","RESTAURANT","CO+NUT+INK","2 HAJI LANE SINGAPORE 189195"
"In-Mall & Building","IMM Building","RETAIL","COACH","2 JURONG EAST STREET 21 #01-103A/104 SINGAPORE 609601"
"Street","East Coast Park","RESTAURANT","COASTAL RHYTHM","1206A EAST COAST PARKWAY SINGAPORE 449891"
"Street","Haji Lane","RETAIL","COCLICO","12 HAJI LANE SINGAPORE 189205"
"In-Mall & Building","The Star Vista","RESTAURANT","COCO ICHIBANYA CURRY HOUSE","1 VISTA EXCHANGE GREEN #02-06 SINGAPORE 138617"
"In-Mall & Building","Bugis+","RESTAURANT","COCO ICHIBANYA CURRY HOUSE","201 VICTORIA STREET #01-10 SINGAPORE 188067"
"In-Mall & Building","Plaza Singapura","RESTAURANT","COCO ICHIBANYA CURRY HOUSE","68 ORCHARD ROAD #03-73 SINGAPORE 238839"
"Street","Liang Seah Street","RESTAURANT","COCONUT CHICKEN","8 LIANG SEAH STREET #01-03 SINGAPORE 189029"
"Street","Tan Quee Lan Street","RESTAURANT","COCONUT CHICKEN ","6 TAN QUEE LAN ST SINGAPORE 188095"
"Street","Liang Seah Street","RESTAURANT","COCONUT CHICKEN ","8 LIANG SEAH STREET #01-02 SINGAPORE 189029"
"In-Mall & Building","Northpoint City","RESTAURANT","COCONUTNUT","1 NORTHPOINT DRIVE #B2-127 SINGAPORE 768019"
"Street","North Bridge Road","RESTAURANT","COFFEE CLUB","402 NORTH BRIDGE ROAD SINGAPORE 188722"
"Street","Haji Lane","RESTAURANT","COFFEE DONKEE","51 HAJI LANE SINGAPORE 189244"
"Street","Cecil Street","RESTAURANT","COFFEE HIVE","138 CECIL STREET #01-02 SINGAPORE 069538"
"In-Mall & Building","Bedok Mall","RESTAURANT","COFFEE SARANG","311 NEW UPPER CHANGI ROAD #01-78 SINGAPORE 467360"
"In-Mall & Building","Chijmes","RESTAURANT","COFFEE SMITH","30 VICTORIA STREET #01-17 SINGAPORE 187996"
"In-Mall & Building","Westgate","RESTAURANT","COFFEE SMITH","3 GATEWAY DRIVE #02-24 SINGAPORE 608532"
"In-Mall & Building","Northpoint City","RESTAURANT","COFFEE SMITH","930 YISHUN AVENUE 2 #01-112 SINGAPORE 769098"
"In-Mall & Building","IMM Building","RETAIL","COLDWEAR","2 JURONG EAST ST 21 #02-39 SINGAPORE 609601"
"In-Mall & Building","The Woodleigh Mall","RESTAURANT","COLLIN'S ","11 BIDADARI PARK DRIVE #01-24 SINGAPORE 367803"
"In-Mall & Building","Paya Lebar Quarter","RESTAURANT","COLLIN'S ","10 PAYA LEBAR ROAD #B1-01 SINGAPORE 409057"
"In-Mall & Building","NEX","RESTAURANT","COLLIN'S ","23 SERANGOON CENTRAL #B1-27 SINGAPORE 556083"
"In-Mall & Building","Westgate","RESTAURANT","COLLIN'S ","3 GATEWAY DRIVE #01-05 SINGAPORE 608531"
"In-Mall & Building","Northpoint City","RESTAURANT","COLLIN'S ","930 YISHUN AVENUE 2 #01-113/114 SINGAPORE 769098"
"In-Mall & Building","One Raffles Place","RETAIL","COLORWASH","1 RAFFLES PLACE #05-22 SINGAPORE 048616"
"Street","North Bridge Road","RESTAURANT","COMER","674 NORTH BRIDGE ROAD SINGAPORE 188804"
"Street","East Coast Road","RESTAURANT","COMIDA MEXICANA","404 EAST COAST ROAD SINGAPORE 428998"
"Street","Stanley Street","RESTAURANT","COMMON MAN COFFEE","11/12 STANLEY STREET SINGAPORE 068730"
"Street","Joo Chiat Road","RESTAURANT","COMMON MAN COFFEE","185/187 JOO CHIAT ROAD SINGAPORE 427456"
"Street","Club Street","RETAIL","COMMON SUITS","50A CLUB STREET #02 SINGAPORE 069427"
"In-Mall & Building","One Raffles Place","RESTAURANT","COMPOSE COFFEE","1 RAFFLES PLACE #01-02 SINGAPORE 048616"
"In-Mall & Building","Paya Lebar Quarter","RESTAURANT","COMPOSE COFFEE","10 PAYA LEBAR ROAD #B1-K3 SINGAPORE 409057"
"In-Mall & Building","NEX","RETAIL","CONCEPT WATCH","23 SERANGOON CENTRAL #01-74 SINGAPORE 556083"
"In-Mall & Building","Bugis Junction","RETAIL","CONVERSE ","200 VICTORIA STREET #02-19 SINGAPORE 188021"
"In-Mall & Building","NEX","RETAIL","COO.SEOUL","23 SERANGOON CENTRAL #01-68 SINGAPORE 556083"
"In-Mall & Building","Northpoint City","RETAIL","COO.SEOUL ","1 NORTHPOINT DRIVE #01-163 SINGAPORE 768019"
"Street","Syed Alwi Road","RESTAURANT","COPPER CHIMNEY","100 SYED ALWI ROAD #01-01 SINGAPORE 207676"
"In-Mall & Building","Chijmes","RESTAURANT","CORIANDER LEAF ","30 VICTORIA STREET #02-01/01A SINGAPORE 187996"
"Street","Craig Road","RESTAURANT","CORIANDER LEAF ","20 CRAIG ROAD #01-01 SINGAPORE 187996"
"In-Mall & Building","Punggol Waterway Point","RETAIL","COSLAB","83 PUNGGOL CENTRAL #01-43 SINGAPORE 828761"
"In-Mall & Building","Northpoint City","RETAIL","COSLAB ","930 YISHUN AVENUE 2 #03-02 SINGAPORE 769098"
"Street","Bussorah Street","RETAIL","COSTUME STAR","61 BUSSORAH STREET SINGAPORE 199477"
"In-Mall & Building","Bugis Junction","RETAIL","COTTON ON","200 VICTORIA STREET #02-14A SINGAPORE 188021"
"In-Mall & Building","Plaza Singapura","RETAIL","COTTON ON","68 ORCHARD ROAD #02-10 SINGAPORE 238839"
"In-Mall & Building","Parkway Parade","RETAIL","COTTON ON","80 MARINE PARADE ROAD #01-80/81/82 SINGAPORE 449269"
"In-Mall & Building","Tampines Mall","RETAIL","COTTON ON","4 TAMPINES CENTRAL 5 #02-17 SINGAPORE 529510"
"In-Mall & Building","NEX","RETAIL","COTTON ON","23 SERANGOON CENTRAL #01-01/02 SINGAPORE 556083"
"In-Mall & Building","IMM Building","RETAIL","COTTON ON","2 JURONG EAST STREET 21 #01-59/60/61 SINGAPORE 609601"
"In-Mall & Building","Lot One","RETAIL","COTTON ON","21 CHOA CHU KANG AVENUE 4 #01-03/04 SINGAPORE 689812"
"In-Mall & Building","Northpoint City","RETAIL","COTTON ON","930 YISHUN AVENUE 2 #02-37/38 SINGAPORE 769098"
"In-Mall & Building","Punggol Waterway Point","RETAIL","COTTON ON","83 PUNGGOL CENTRAL #02-09 SINGAPORE 828761"
"In-Mall & Building","Plaza Singapura","RETAIL","COTTON ON KIDS","68 ORCHARD ROAD #03-20 SINGAPORE 238839"
"In-Mall & Building","Parkway Parade","RETAIL","COTTON ON KIDS","80 MARINE PARADE ROAD #02-48/49/50/51 SINGAPORE 449269"
"In-Mall & Building","Northpoint City","RETAIL","COTTON ON KIDS","930 YISHUN AVENUE 2 #02-160 SINGAPORE 769098"
"Street","Craig Road","RESTAURANT","COUCOU","9 CRAIG ROAD SINGAPORE 089669"
"In-Mall & Building","Northpoint City","RESTAURANT","COUNTRY BROT","930 YISHUN AVENUE 2 #B1-04 SINGAPORE 769098"
"In-Mall & Building","Punggol Waterway Point","RESTAURANT","COUNTRY BROT","83 PUNGGOL CENTRAL #B2-31 SINGAPORE 828761"
"In-Mall & Building","Bugis+","RETAIL","COUPLE LAB","201 VICTORIA STREET #02-53/54 SINGAPORE 188067"
"In-Mall & Building","Plaza Singapura","RETAIL","COUPLE LAB","68 ORCHARD ROAD #02-34 SINGAPORE 238839"
"Street","Teck Lim Road","RESTAURANT","COVE CAFE AND BAR","12 TECK LIM ROAD SINGAPORE 088387"
"Street","South Bridge Road","RETAIL","COVO","81 SOUTH BRIDGE ROAD #01-01 SINGAPORE 058711"
"Street","East Coast Road","RETAIL","COVO HAIR SALON","87 EAST COAST ROAD #01-01 SINGAPORE 428789"
"In-Mall & Building","Junction 8","RETAIL","COZY BEDDING","9 BISHAN PLACE #04-06 SINGAPORE 579837"
"Street","Jalan Sultan","RESTAURANT","CRAB WANG IMPERIAL DINING","500 JALAN SULTAN #01-10 SINGAPORE 199020"
"Street","Keong Saik Road","RESTAURANT","CREAMIE SIPPIES","31 KEONG SAIK ROAD SINGAPORE 089138"
"Street","Yong Siak Street","RESTAURANT","CREAMIER","78 YONG SIAK STREET #01-18 SINGAPORE 163078"
"In-Mall & Building","West Mall","RETAIL","CRISTOFORI MUSIC","1 BUKIT BATOK CENTRAL LINK #04-13/14 SINGAPORE 658713"
"In-Mall & Building","IMM Building","RETAIL","CROCODILE","2 JURONG EAST ST 21 #02-61 SINGAPORE 609601"
"In-Mall & Building","Lot One","RETAIL","CROCODILE","21 CHOA CHU KANG AVENUE 4 #01-24 SINGAPORE 689812"
"In-Mall & Building","Plaza Singapura","RETAIL","CROCS","68 ORCHARD ROAD #02-06 SINGAPORE 238839"
"In-Mall & Building","Parkway Parade","RETAIL","CROCS","80 MARINE PARADE ROAD #02-37/38/39 SINGAPORE 449269"
"In-Mall & Building","Tampines Mall","RETAIL","CROCS","4 TAMPINES CENTRAL 5 #01-17 SINGAPORE 529510"
"In-Mall & Building","NEX","RETAIL","CROCS","23 SERANGOON CENTRAL #01-46/47 SINGAPORE 556083"
"In-Mall & Building","Junction 8","RETAIL","CROCS","9 BISHAN PLACE #02-07 SINGAPORE 579837"
"In-Mall & Building","IMM Building","RETAIL","CROCS","2 JURONG EAST ST 21 #02-44 SINGAPORE 609601"
"In-Mall & Building","Punggol Waterway Point","RETAIL","CROCS","83 PUNGGOL CENTRAL #01-69/70 SINGAPORE 828761"
"In-Mall & Building","Northpoint City","RESTAURANT","CROLO","1 NORTHPOINT DRIVE #B2-144 SINGAPORE 658713"
"In-Mall & Building","Parkway Parade","RETAIL","CRYSTAL NAIL BAR BY NAIL BLISS","80 MARINE PARADE ROAD #05-24 SINGAPORE 449269"
"Street","Cecil Street","RESTAURANT","CUBA LIBRE","182 CECIL STREET #01-06/07 SINGAPORE 069547"
"Street","Stanley Street","RESTAURANT","CUDO","13 STANLEY STREET SINGAPORE 068732"
"Street","North Bridge Road","RETAIL","CURATED RECORDS","766A NORTH BRIDGE ROAD SINGAPORE 198734"
"In-Mall & Building","Bedok Mall","RETAIL","CUT BUTCHERY","311 NEW UPPER CHANGI ROAD #B2-52 SINGAPORE 467360"
"In-Mall & Building","Tampines Mall","RETAIL","CUT BUTCHERY","4 TAMPINES CENTRAL 5 #B1-16 SINGAPORE 529510"
"In-Mall & Building","Myvillage - Serangoon","RETAIL","CUT BUTCHERY","1 MAJU AVENUE #B1-06 SINGAPORE 556679"
"In-Mall & Building","Lot One","RESTAURANT","CUT CUT FRAGRANCE","21 CHOA CHU KANG AVENUE 4 #B1-K24 SINGAPORE 689812"
"In-Mall & Building","Myvillage - Serangoon","RETAIL","CUTTOUR","1 MAJU AVENUE #01-25 SINGAPORE 556679"
"In-Mall & Building","Paya Lebar Quarter","RETAIL","CUTTOUR HAIR STUDIO","10 PAYA LEBAR ROAD #B1-03 SINGAPORE 409057"
"In-Mall & Building","Bedok Mall","RETAIL","D & C","311 NEW UPPER CHANGI ROAD #B1-66 SINGAPORE 467360"
"In-Mall & Building","Northpoint City","RETAIL","D & C","1 NORTHPOINT DRIVE #01-163 SINGAPORE 768019"
"In-Mall & Building","The Arcade","RETAIL","D OPTOMETRISTS","11 COLLYER QUAY #02-17 SINGAPORE 049317"
"Street","Temple Street","RETAIL","D SPARADISE","15A TEMPLE STREET #02-02 SINGAPORE 058562"
"Street","Bukit Pasoh Road","RESTAURANT","D.BESPOKE","2 BUKIT PASOH ROAD SINGAPORE 089816"
"Street","Trengganu Street","RETAIL","DA WEI ARTS N CRAFTS ENTERPRISE","7 TRENGGANU STREET SINGAPORE 058461"
"In-Mall & Building","Guoco Tower","RESTAURANT","DA XI","7 WALLICH STREET #B2-33 SINGAPORE 078884"
"In-Mall & Building","Plaza Singapura","RESTAURANT","DA XI","68 ORCHARD ROAD #B1-08 SINGAPORE 238839"
"In-Mall & Building","Bugis Junction","RESTAURANT","DABBA STREET","200 VICTORIA STREET #B1-K08 SINGAPORE 188021"
"In-Mall & Building","Northpoint City","RESTAURANT","DABBA STREET","930 YISHUN AVENUE 2 #B2-158/159 SINGAPORE 769098"
"In-Mall & Building","Parkway Parade","RETAIL","DAH KAI MEDICAL&DEPARTMENTAL STORE","80 MARINE PARADE ROAD #03-20 SINGAPORE 449269"
"Street","Telok Ayer Street","RESTAURANT","DAILY BEER","212 TELOK AYER STREET GROUND FLOOR SINGAPORE 068645"
"In-Mall & Building","Chijmes","RESTAURANT","DAILY BEER","30 VICTORIA STREET #01-04 SINGAPORE 187996"
"In-Mall & Building","Bugis Junction","RESTAURANT","DAILY CHICKEN","200 VICTORIA STREET #B1-06 SINGAPORE 188021"
"In-Mall & Building","Punggol Waterway Point","RESTAURANT","DAILY CHICKEN","83 PUNGGOL CENTRAL #01-66 SINGAPORE 828761"
"Street","Boon Tat Street","RESTAURANT","DAL IN KOREAN RESTAURANT","17 BOON TAT STREET SINGAPORE 069618"
"In-Mall & Building","100AM","RETAIL","DAMARA ","100 TRAS STREET #04-15 SINGAPORE 079027"
"In-Mall & Building","100AM","RETAIL","DAMARA BEAUTY","100 TRAS STREET #04-13 SINGAPORE 079027"
"Street","Mosque Street","RESTAURANT","DATING FISH","12 MOSQUE STREET SINGAPORE 059492"
"In-Mall & Building","Northpoint City","RETAIL","DE ARTE HAIR STUDIO","930 YISHUN AVENUE 2 #B1-172/173 SINGAPORE 769098"
"In-Mall & Building","International Plaza","RETAIL","DE BEAUTE BEAUTY & SLIMMING ","10 ANSON ROAD #02-42/44 SINGAPORE 079903"
"In-Mall & Building","I12 Katong","RETAIL","DE BEAUTE BEAUTY & SLIMMING ","112 EAST COAST ROAD #04-15 SINGAPORE 428802"
"In-Mall & Building","Bugis Junction","RETAIL","DE FIGURELAB","200 VICTORIA STREET #03-06 SINGAPORE 188021"
"In-Mall & Building","NEX","RETAIL","DE HAIR-TIQUE SALON ","23 SERANGOON CENTRAL #04-09 SINGAPORE 556083"
"In-Mall & Building","Guoco Tower","RETAIL","DE LA BELLE WELLNESS","7 WALLICH STREET #B2-13 SINGAPORE 078884"
"Street","Bugis Village","RETAIL","DE SALON","243A VICTORIA STREET SINGAPORE 188031"
"In-Mall & Building","NEX","RETAIL","DEAD SEA PREMIER ","23 SERANGOON CENTRAL #B1-53 SINGAPORE 556083"
"Street","Joo Chiat Road","RETAIL","DECOTEX","1 JOO CHIAT ROAD #01-1021 JOO CHIAT COMPLEX SINGAPORE 420001"
"Street","East Coast Road","RESTAURANT","DELHI6","11 EAST COAST ROAD #01-22 SINGAPORE 428722"
"In-Mall & Building","Marina Bay Link Mall","RESTAURANT","DELIBOWL ","8A MARINA BOULEVARD #B2-67/67A SINGAPORE 018984"
"In-Mall & Building","Bugis Cube","RETAIL","DERMA FLORAL BEAUTY","470 NORTH BRIDGE ROAD #03-23 SINGAPORE 188735"
"In-Mall & Building","Chijmes","RESTAURANT","DEW BY WHITEGRASS","30 VICTORIA STREET #01-27A SINGAPORE 187996"
"In-Mall & Building","The Star Vista","RESTAURANT","DEWGATHER","1 VISTA EXCHANGE GREEN #01-46 SINGAPORE 138617"
"In-Mall & Building","Plaza Singapura","RETAIL","D'GALLERIA ORCHARD","60 ORCHARD ROAD #03-86/87/88/89 SINGAPORE 238889"
"In-Mall & Building","Holland Road Shopping Centre","RETAIL","DIAMOND CRAFT","211 HOLLAND AVENUE #02-12A SINGAPORE 278967"
"In-Mall & Building","Parkway Parade","RESTAURANT","DIAN XIAO ER","80 MARINE PARADE ROAD #02-14/15/16/17/68/69/70 SINGAPORE 449269"
"In-Mall & Building","Bedok Mall","RESTAURANT","DIAN XIAO ER","311 NEW UPPER CHANGI ROAD #01-73/74 SINGAPORE 467360"
"In-Mall & Building","NEX","RESTAURANT","DIAN XIAO ER","23 SERANGOON CENTRAL #02-09/10 SINGAPORE 556083"
"In-Mall & Building","Junction 8","RESTAURANT","DIAN XIAO ER","9 BISHAN PLACE #B1-07 SINGAPORE 579837"
"In-Mall & Building","Lot One","RESTAURANT","DIAN XIAO ER","21 CHOA CHU KANG AVENUE 4 #B1-32/33 SINGAPORE 689812"
"In-Mall & Building","Northpoint City","RESTAURANT","DIAN XIAO ER","930 YISHUN AVENUE 2 #02-06 SINGAPORE 769098"
"In-Mall & Building","Punggol Waterway Point","RESTAURANT","DIAN XIAO ER","83 PUNGGOL CENTRAL #01-30 SINGAPORE 828761"
"Street","Kreta Ayer Road","RETAIL","DIANOCHE","29A KRETA AYER ROAD SINGAPORE 088996"
"Street","Joo Chiat Road","RETAIL","DIGI-SOUND HEARING CARE CENTRE","442 JOO CHIAT ROAD SINGAPORE 427655"
"In-Mall & Building","Westgate","RETAIL","DIGI-SOUND HEARING CARE CENTRE","3 GATEWAY DRIVE #04-24 SINGAPORE 608532"
"Street","Arab Street","RETAIL","DILIP TEXTILES","74 ARAB STREET SINGAPORE 199771"
"In-Mall & Building","Marina Bay Financial Centre","RESTAURANT","DIMBULAH COFFEE","8 MARINA BOULEVARD #01-01A SINGAPORE 018981"
"In-Mall & Building","Marina Bay Link Mall","RESTAURANT","DIN TAI FUNG","8A MARINA BOULEVARD #B2-05/06 SINGAPORE 018984"
"In-Mall & Building","Plaza Singapura","RESTAURANT","DIN TAI FUNG","68 ORCHARD ROAD #02-32/36 SINGAPORE 238839"
"In-Mall & Building","Parkway Parade","RESTAURANT","DIN TAI FUNG","80 MARINE PARADE ROAD #01-15 SINGAPORE 449269"
"In-Mall & Building","Tampines Mall","RESTAURANT","DIN TAI FUNG","4 TAMPINES CENTRAL 5 #02-01 SINGAPORE 529510"
"In-Mall & Building","NEX","RESTAURANT","DIN TAI FUNG","23 SERANGOON CENTRAL #B1-10/11/12 SINGAPORE 556083"
"In-Mall & Building","Junction 8","RESTAURANT","DIN TAI FUNG","9 BISHAN PLACE #01-41 SINGAPORE 579837"
"In-Mall & Building","IMM Building","RESTAURANT","DIN TAI FUNG","2 JURONG EAST STREET 21 #01-90 SINGAPORE 609601"
"In-Mall & Building","Northpoint City","RESTAURANT","DIN TAI FUNG","1 NORTHPOINT DRIVE #B1-107 SINGAPORE 768019"
"In-Mall & Building","Punggol Waterway Point","RESTAURANT","DIN TAI FUNG","83 PUNGGOL CENTRAL #01-22 SINGAPORE 828761"
"In-Mall & Building","NEX","RETAIL","DJI ","23 SERANGOON CENTRAL #02-43/44 SINGAPORE 556083"
"Street","East Coast Road","RETAIL","DLUSH","148 EAST COAST ROAD SINGAPORE 428836"
"In-Mall & Building","Myvillage - Serangoon","RETAIL","DLUSH","1 MAJU AVENUE #01-02 SINGAPORE 556679"
"In-Mall & Building","Raffles Xchange","RETAIL","DMK","5 RAFFLES PLACE #B1-34 SINGAPORE 048618"
"In-Mall & Building","Plaza Singapura","RETAIL","DMK","68 ORCHARD ROAD #B1-17 SINGAPORE 238839"
