"mall_or_street","mall_or_street_name","merchant_category","merchant_name","address"
"Street","Neil Road","RESTAURANT","ACOUSTICS COFFEE BAR","61 NEIL ROAD SINGAPORE 088895"
"Street","Keong Saik Road","RESTAURANT","ACQUA E FARINA ","35A KEONG SAIK ROAD SINGAPORE 089142"
"In-Mall & Building","Bugis Junction","RETAIL","ACTIONCITY","200 VICTORIA STREET #03-23 SINGAPORE 188021"
"In-Mall & Building","Bugis+","RETAIL","ACTIONCITY PLUS","201 VICTORIA STREET #01-ATRIUM SINGAPORE 188067"
"In-Mall & Building","Northpoint City","RETAIL","ACTIVE WORLD ","930 YISHUN AVENUE 2 #01-11 SINGAPORE 769098"
"In-Mall & Building","Bugis Junction","RETAIL","ADDON SYSTEMS","200 VICTORIA STREET #03-26A SINGAPORE 188021"
"In-Mall & Building","Bugis Junction","RETAIL","ADIDAS","200 VICTORIA STREET #02-12/13 SINGAPORE 188021"
"In-Mall & Building","Bugis+","RETAIL","ADIDAS","201 VICTORIA STREET #02-10/11 SINGAPORE 188067"
"In-Mall & Building","IMM Building","RETAIL","ADIDAS","2 JURONG EAST ST 21 #02-14 TO 16 SINGAPORE 609601"
"In-Mall & Building","Northpoint City","RETAIL","ADIDAS","930 YISHUN AVENUE 2 #02-39 SINGAPORE 769098"
"In-Mall & Building","Punggol Waterway Point","RETAIL","ADIDAS","83 PUNGGOL CENTRAL #01-04 SINGAPORE 828761"
"In-Mall & Building","Tanjong Pagar Plaza","RESTAURANT","ADIL CO NASI PADANG & CATERING","5 TANJONG PAGAR PLAZA #01-03 SINGAPORE 081005"
"In-Mall & Building","Parkway Parade","RETAIL","ADORE COSMETICS","80 MARINE PARADE ROAD #B1-49/67 SINGAPORE 449269"
"In-Mall & Building","International Plaza","RETAIL","ADVANCE LAP ","10 ANSON ROAD #01-70 SINGAPORE 079903"
"In-Mall & Building","Tampines Mall","RETAIL","AESOP","4 TAMPINES CENTRAL 5 #01-08/09 SINGAPORE 529510"
"In-Mall & Building","Westgate","RETAIL","AESOP","3 GATEWAY DRIVE #01-27 SINGAPORE 608532"
"In-Mall & Building","International Plaza","RETAIL","AESTHETE BROW AND SKIN MANAGEMENT","10 ANSON ROAD #02-39 SINGAPORE 079903"
"Street","Serangoon Garden Way","RETAIL","AFTERGLOW STUDIO","79A SERANGOON GARDEN WAY SINGAPORE 555975"
"Street","Club Street","RESTAURANT","AGORA COFFEE","31 CLUB STREET #01-02 SINGAPORE 069468"
